Date,Indicator,Value,Year,Classification,Category,Region,Consumption (GWh)
2010-02,Southern region - Average - (GW),1.9,2010,Energy sales,Commercial,Sum by category,33119
2010-03,Eastern region - Minimum (GW),6.7,2010,Energy sales,Government,Eastern,6844
2010-03,Eastern region - Maximum (GW),9.1,2010,Energy sales,Government,Southern,2269
2010-03,Eastern region - Average (GW),7.9,2010,Energy sales,Government,Western,6269
2010-03,Western region - Maximum - (GW),9.1,2010,Energy sales,Government,Sum by category,24141
2010-03,Central region - Maximum - (GW),7.9,2010,Energy sales,Industrial,Sum by category,46726
2010-03,Central region - Average - (GW),5.8,2010,Energy sales,Residential,Eastern,23546
2010-03,Southern region - Minimum - (GW),0.9,2010,Energy sales,Residential,Western,44022
2010-03,Southern region - Average - (GW),2,2010,Energy sales,Commercial,Eastern,10508
2010-04,Eastern region - Minimum (GW),7.1,2010,Energy sales,Commercial,Sum by category,39934
2010-04,Southern region - Maximum - (GW),2.9,2010,Energy sales,Government,Central,9921
2010-05,Eastern region - Minimum (GW),8.2,2010,Energy sales,Government,Sum by category,26354
2010-05,Central region - Average - (GW),9.3,2010,Energy sales,Industrial,Eastern,30570
2010-06,Southern region - Average - (GW),2.9,2010,Energy sales,Residential,Western,47997
2010-07,Central region - Minimum - (GW),9.1,2010,Energy sales,Government,Eastern,6938
2010-07,Southern region - Minimum - (GW),1.9,2010,Energy sales,Government,Southern,2921
2010-08,Central region - Maximum - (GW),13.4,2010,Energy sales,Others,Southern,1263
2010-08,Southern region - Minimum - (GW),2,2010,Energy sales,Sum by regions,Eastern,78655
2010-08,Southern region - Average - (GW),2.8,2010,Energy sales,Sum by regions,Southern,23557
2010-10,Eastern region - Average (GW),10.2,2010,Energy sales,Sum by regions,Sum by category,262683
2010-10,Central region - Minimum - (GW),5.3,2010,Energy sales,Industrial,Eastern,38943
2010-10,Southern region - Maximum - (GW),2.9,2010,Energy sales,Others,Southern,1439
2010-11,Western region - Maximum - (GW),9.7,2010,Energy sales,Sum by regions,Western,87998
2010-11,Central region - Maximum - (GW),7.9,2010,Energy sales,Residential,Eastern,28132
2010-11,Southern region - Minimum - (GW),1.5,2010,Energy sales,Residential,Western,51201
2010-11,Southern region - Maximum - (GW),2.7,2010,Energy sales,Commercial,Eastern,9091
2010-12,Western region - Maximum - (GW),7.6,2010,Energy sales,Government,Central,11298
2010-12,Central region - Minimum - (GW),4.1,2010,Energy sales,Industrial,Central,6109
2011-01,Eastern region - Minimum (GW),6.7,2011,Energy sales,Commercial,Sum by category,48898
2011-01,Eastern region - Maximum (GW),8.9,2011,Energy sales,Government,Central,11489
2011-01,Western region - Maximum - (GW),7,2011,Energy sales,Industrial,Eastern,33277
2011-01,Central region - Minimum - (GW),8.3,2011,Energy sales,Industrial,Southern,757
2011-01,Central region - Average - (GW),5.9,2011,Energy sales,Others,Eastern,2657
2011-02,Eastern region - Maximum (GW),8.8,2011,Energy sales,Residential,Eastern,27620
2011-02,Southern region - Maximum - (GW),2.6,2011,Energy sales,Commercial,Sum by category,49148
2011-03,Western region - Maximum - (GW),7.8,2011,Energy sales,Government,Western,9356
2011-03,Central region - Minimum - (GW),7.5,2011,Energy sales,Industrial,Southern,576
2011-04,Eastern region - Maximum (GW),10.8,2011,Energy sales,Industrial,Sum by category,54862
2011-04,Central region - Average - (GW),7.1,2011,Energy sales,Sum by regions,Western,97135
2011-05,Eastern region - Minimum (GW),8.6,2011,Energy sales,Residential,Western,46261
2011-06,Eastern region - Minimum (GW),10.3,2011,Energy sales,Commercial,Western,17254
2011-06,Western region - Minimum - (GW),8,2011,Energy sales,Government,Central,11269
2011-07,Southern region - Maximum - (GW),3.5,2011,Energy sales,Others,Sum by category,19611
2011-07,Southern region - Average - (GW),3.1,2011,Energy sales,Sum by regions,Central,85358
2011-08,Eastern region - Maximum (GW),14,2011,Energy sales,Commercial,Central,16333
2011-08,Southern region - Minimum - (GW),2.4,2011,Energy sales,Government,Central,10999
2011-08,Southern region - Average - (GW),3.1,2011,Energy sales,Government,Western,11919
2011-09,Western region - Minimum - (GW),7.8,2011,Energy sales,Sum by regions,Eastern,82394
2011-09,Western region - Maximum - (GW),12.3,2011,Customers numbers,Government,Western,36618
2011-10,Eastern region - Maximum (GW),12.7,2011,Customers numbers,Industrial,Western,2040
2011-10,Southern region - Maximum - (GW),3.3,2011,Customers numbers,Others,Eastern,22663
2011-11,Western region - Minimum - (GW),4.2,2011,Customers numbers,Sum by regions,Central,1498370
2011-11,Western region - Maximum - (GW),9.2,2011,Customers numbers,Industrial,Central,2026
2011-11,Western region - Average - (GW),6.9,2011,Customers numbers,Industrial,Southern,268
2011-11,Southern region - Maximum - (GW),2.9,2011,Customers numbers,Residential,Southern,593349
2011-12,Western region - Minimum - (GW),4,2011,Customers numbers,Government,Southern,15664
2011-12,Western region - Maximum - (GW),8,2011,Customers numbers,Residential,Eastern,720920
2012-01,Western region - Minimum - (GW),3.2,2012,Customers numbers,Commercial,Western,228633
2012-01,Central region - Maximum - (GW),8.9,2012,Customers numbers,Industrial,Eastern,1963
2012-01,Southern region - Maximum - (GW),2.7,2012,Customers numbers,Others,Eastern,26749
2012-02,Eastern region - Maximum (GW),8.6,2012,Customers numbers,Others,Southern,17278
2012-02,Western region - Average - (GW),6.2,2012,Customers numbers,Residential,Eastern,762937
2012-02,Southern region - Minimum - (GW),1.6,2012,Customers numbers,Residential,Sum by category,4685890
2012-03,Eastern region - Maximum (GW),7.7,2012,Customers numbers,Industrial,Western,2547
2012-03,Western region - Maximum - (GW),9,2012,Customers numbers,Others,Western,32035
2012-04,Central region - Average - (GW),9,2012,Customers numbers,Residential,Southern,689818
2012-04,Southern region - Minimum - (GW),1.9,2012,Customers numbers,Government,Southern,19303
2012-04,Southern region - Maximum - (GW),3.4,2012,Customers numbers,Industrial,Central,2640
2012-05,Eastern region - Average (GW),11.7,2012,Customers numbers,Others,Western,33265
2012-05,Central region - Minimum - (GW),9.4,2012,Customers numbers,Commercial,Southern,98740
2012-05,Southern region - Average - (GW),3.1,2012,Customers numbers,Sum by regions,Southern,851658
2012-09,Western region - Maximum - (GW),12.9,2012,Customers numbers,Government,Central,39855
2012-10,Eastern region - Average (GW),8.9,2012,Customers numbers,Government,Southern,24263
2013-01,Eastern region - Average (GW),8.2,2013,Customers numbers,Others,Eastern,32357
2013-06,Central region - Maximum - (GW),15.4,2013,Customers numbers,Sum by regions,Southern,912926
2013-06,Central region - Average - (GW),12.7,2013,Customers numbers,Residential,Eastern,986190
2013-07,Western region - Maximum - (GW),14.6,2013,Customers numbers,Residential,Southern,815567
2013-09,Eastern region - Average (GW),13.2,2013,Customers numbers,Commercial,Southern,110092
2013-09,Western region - Average - (GW),12.1,2013,Customers numbers,Commercial,Sum by category,1156736
2013-09,Central region - Average - (GW),12.9,2013,Customers numbers,Industrial,Sum by category,8586
2013-10,Eastern region - Minimum (GW),8.8,2013,Customers numbers,Others,Eastern,33664
2013-10,Western region - Average - (GW),10.6,2013,Customers numbers,Industrial,Southern,395
2013-10,Central region - Average - (GW),8.7,2013,Customers numbers,Industrial,Western,3047
2013-11,Central region - Minimum - (GW),4.8,2013,Customers numbers,Others,Eastern,35317
2013-11,Central region - Maximum - (GW),9.7,2013,Customers numbers,Residential,Central,2007566
2013-12,Eastern region - Minimum (GW),8.2,2013,Customers numbers,Commercial,Southern,142761
2013-12,Western region - Minimum - (GW),4.3,2013,Customers numbers,Industrial,Western,3139
2013-12,Western region - Maximum - (GW),8.9,2013,Customers numbers,Others,Western,49513
2013-12,Central region - Maximum - (GW),10.5,2013,Customers numbers,Sum by regions,Central,2644736
2014-01,Western region - Average - (GW),6.4,2014,Customers numbers,Sum by regions,Southern,1119219
2014-02,Western region - Maximum - (GW),8.6,2014,Customers numbers,Sum by regions,Western,2893166
2014-02,Western region - Average - (GW),6.8,2014,Customers numbers,Residential,Eastern,1197309
2014-02,Central region - Average - (GW),7.2,2014,Customers numbers,Residential,Southern,986642
2014-02,Southern region - Maximum - (GW),3.3,2014,Customers numbers,Commercial,Eastern,279609
2014-03,Eastern region - Minimum (GW),9.1,2014,Customers numbers,Government,Western,46957
2014-03,Eastern region - Maximum (GW),11.8,2014,Customers numbers,Government,Sum by category,153018
2014-04,Central region - Minimum - (GW),5.5,2014,Customers numbers,Others,Eastern,38930
2014-05,Eastern region - Average (GW),13.8,2014,Customers numbers,Sum by regions,Western,3063835
2014-06,Eastern region - Maximum (GW),16.5,2014,Customers numbers,Residential,Western,2799775
2014-06,Western region - Average - (GW),12.2,2014,Customers numbers,Residential,Sum by category,7713499
2014-06,Southern region - Maximum - (GW),4.6,2014,Customers numbers,Commercial,Western,556601
2014-07,Eastern region - Minimum (GW),13.3,2014,Customers numbers,Government,Southern,36159
2014-07,Eastern region - Maximum (GW),17.1,2014,Energy sales,Commercial,Central,5096
2014-07,Central region - Average - (GW),14.6,2014,Energy sales,Commercial,Sum by category,15662
2014-07,Southern region - Maximum - (GW),4.7,2014,Energy sales,Industrial,Sum by category,36853
2014-08,Eastern region - Average (GW),15.4,2014,Energy sales,Government,Southern,1307
2014-08,Southern region - Minimum - (GW),3.1,2014,Energy sales,Government,Sum by category,18189
2014-08,Southern region - Average - (GW),4,2014,Energy sales,Industrial,Central,3269
2014-09,Eastern region - Maximum (GW),17,2014,Energy sales,Commercial,Eastern,4707
2014-09,Western region - Maximum - (GW),15.1,2014,Energy sales,Commercial,Western,6713
2014-09,Central region - Minimum - (GW),9.9,2014,Energy sales,Industrial,Sum by category,33876
2014-10,Southern region - Average - (GW),3.3,2014,Energy sales,Residential,Western,36286
2014-11,Western region - Average - (GW),8.2,2014,Energy sales,Government,Southern,1486
2014-11,Southern region - Minimum - (GW),2.2,2014,Energy sales,Government,Sum by category,20660
2014-11,Southern region - Average - (GW),3,2014,Energy sales,Others,Eastern,1786
2014-12,Eastern region - Average (GW),10.6,2014,Energy sales,Others,Southern,708
2014-12,Southern region - Minimum - (GW),2.2,2014,Energy sales,Sum by regions,Eastern,55648
2015-01,Southern region - Maximum - (GW),3.5,2015,Energy sales,Sum by regions,Southern,14000
2015-03,Eastern region - Minimum (GW),9.5,2015,Energy sales,Residential,Eastern,19402
2015-03,Western region - Maximum - (GW),11.9,2015,Energy sales,Government,Southern,1702
2015-03,Southern region - Minimum - (GW),2.3,2015,Energy sales,Industrial,Southern,271
2015-04,Eastern region - Maximum (GW),15.1,2015,Energy sales,Others,Eastern,1830
2015-05,Eastern region - Minimum (GW),12.5,2015,Energy sales,Sum by regions,Eastern,59809
2015-05,Eastern region - Average (GW),14.6,2015,Energy sales,Industrial,Western,8965
2015-05,Western region - Maximum - (GW),14.3,2015,Energy sales,Others,Central,5296
2015-05,Southern region - Average - (GW),3.9,2015,Energy sales,Sum by regions,Eastern,65803
2015-06,Southern region - Maximum - (GW),5,2015,Energy sales,Sum by regions,Southern,17604
2015-07,Western region - Minimum - (GW),10.2,2015,Energy sales,Residential,Western,39099
2015-07,Western region - Average - (GW),13,2015,Energy sales,Commercial,Central,11503
2015-07,Southern region - Maximum - (GW),4.9,2015,Energy sales,Commercial,Southern,2711
2015-07,Southern region - Average - (GW),4.4,2015,Energy sales,Industrial,Southern,167
2015-08,Eastern region - Maximum (GW),18.7,2015,Energy sales,Commercial,Southern,3128
2015-08,Western region - Maximum - (GW),17,2015,Energy sales,Government,Eastern,6939
2015-08,Central region - Average - (GW),16.6,2015,Energy sales,Industrial,Western,10272
2015-09,Western region - Maximum - (GW),16.7,2015,Customers numbers,Government,Eastern,15052
2015-12,Western region - Minimum - (GW),4.6,2015,Customers numbers,Others,Central,56063
2016-01,Eastern region - Minimum (GW),8.8,2016,Customers numbers,Sum by regions,Western,1840219
2016-01,Western region - Average - (GW),6.7,2016,Customers numbers,Residential,Eastern,685358
2016-01,Central region - Average - (GW),8,2016,Customers numbers,Government,Sum by category,105311
2016-03,Central region - Average - (GW),8,2016,Customers numbers,Residential,Western,1795229
2016-03,Southern region - Maximum - (GW),4.5,2016,Customers numbers,Government,Eastern,17078
2016-05,Eastern region - Minimum (GW),12.3,2016,Customers numbers,Industrial,Western,2461
2016-05,Eastern region - Average (GW),15.2,2016,Customers numbers,Sum by regions,Eastern,930784
2016-05,Southern region - Minimum - (GW),3.1,2016,Customers numbers,Others,Southern,18506
2016-06,Central region - Maximum - (GW),19.2,2016,Customers numbers,Government,Eastern,19430
2016-07,Central region - Maximum - (GW),19.7,2016,Customers numbers,Industrial,Western,2570
2016-08,Central region - Maximum - (GW),19.5,2016,Customers numbers,Sum by regions,Southern,801659
2016-09,Central region - Maximum - (GW),18.5,2016,Customers numbers,Commercial,Eastern,206482
2016-09,Southern region - Minimum - (GW),3.4,2016,Customers numbers,Government,Eastern,21389
2016-10,Southern region - Minimum - (GW),2.8,2016,Customers numbers,Others,Southern,22020
2016-12,Eastern region - Minimum (GW),10.3,2016,Customers numbers,Sum by regions,Sum by category,6355906
2016-12,Western region - Average - (GW),7.6,2016,Customers numbers,Residential,Western,2591459
2016-12,Central region - Average - (GW),7.9,2016,Customers numbers,Government,Eastern,26009
2017-01,Eastern region - Maximum (GW),12.1,2017,Customers numbers,Industrial,Central,3750
2017-01,Western region - Minimum - (GW),5.5,2017,Customers numbers,Sum by regions,Western,3232445
2017-02,Western region - Average - (GW),6.8,2017,Customers numbers,Others,Eastern,39547
2017-02,Central region - Average - (GW),8.7,2017,Customers numbers,Others,Southern,32210
2017-03,Central region - Maximum - (GW),10.7,2017,Customers numbers,Sum by regions,Central,3026781
2017-03,Central region - Average - (GW),8,2017,Customers numbers,Government,Sum by category,157192
2017-06,Eastern region - Maximum (GW),18.3,2017,Customers numbers,Sum by regions,Sum by category,9758748
2017-07,Western region - Minimum - (GW),11.7,2017,Energy sales,Commercial,Eastern,4214
2017-08,Central region - Maximum - (GW),20.2,2017,Energy sales,Government,Central,6362
2017-08,Central region - Average - (GW),17.5,2017,Energy sales,Government,Southern,1176
2017-09,Eastern region - Minimum (GW),14.3,2017,Energy sales,Industrial,Eastern,28090
2017-10,Western region - Average - (GW),11.9,2017,Energy sales,Industrial,Southern,96
2018-01,Eastern region - Minimum (GW),9.8,2018,Energy sales,Commercial,Southern,950
2018-01,Central region - Maximum - (GW),10.7,2018,Energy sales,Residential,Sum by category,109624
2018-02,Eastern region - Maximum (GW),12.4,2018,Energy sales,Commercial,Western,12138
2018-02,Central region - Maximum - (GW),17.9,2018,Energy sales,Sum by regions,Western,70381
2018-04,Western region - Maximum - (GW),14.1,2018,Energy sales,Residential,Southern,13504
2018-06,Western region - Average - (GW),14.1,2018,Energy sales,Others,Sum by category,13046
2018-07,Eastern region - Maximum (GW),18.8,2018,Energy sales,Sum by regions,Eastern,73728
2018-09,Eastern region - Maximum (GW),18.6,2018,Energy sales,Commercial,Central,12612
2018-09,Western region - Maximum - (GW),16.5,2018,Energy sales,Government,Central,10376
2018-10,Western region - Maximum - (GW),14.5,2018,Energy sales,Government,Western,7409
2018-11,Eastern region - Average (GW),12.4,2018,Energy sales,Industrial,Southern,686
2018-12,Western region - Minimum - (GW),6.1,2018,Energy sales,Others,Eastern,2130
2018-12,Central region - Maximum - (GW),11.6,2018,Energy sales,Residential,Central,44155
2018-12,Central region - Average - (GW),8.4,2018,Energy sales,Government,Central,11766
2019-01,Eastern region - Minimum (GW),10.6,2019,Energy sales,Industrial,Central,5768
2019-01,Eastern region - Maximum (GW),12.7,2019,Energy sales,Others,Western,4583
2019-01,Eastern region - Average (GW),11.6,2019,Energy sales,Sum by regions,Southern,25560
2019-01,Western region - Minimum - (GW),4.7,2019,Energy sales,Government,Eastern,9049
2019-01,Western region - Average - (GW),7,2019,Energy sales,Others,Central,7484
2019-02,Eastern region - Maximum (GW),12.4,2019,Energy sales,Others,Western,5279
2019-02,Eastern region - Average (GW),11.4,2019,Energy sales,Others,Sum by category,16995
2019-02,Southern region - Average - (GW),3.4,2019,Energy sales,Sum by regions,Central,90211
2019-03,Eastern region - Minimum (GW),10.4,2019,Energy sales,Sum by regions,Western,95831
2019-03,Western region - Average - (GW),7.2,2019,Energy sales,Residential,Southern,17267
2019-03,Central region - Maximum - (GW),10.5,2019,Energy sales,Commercial,Southern,4343
2019-05,Western region - Maximum - (GW),15.3,2019,Energy sales,Others,Central,7717
2019-05,Central region - Minimum - (GW),9.3,2019,Energy sales,Sum by regions,Southern,27948
2019-09,Eastern region - Minimum (GW),14.1,2019,Energy sales,Sum by regions,Western,97774
2019-09,Central region - Maximum - (GW),20.2,2019,Energy sales,Residential,Sum by category,143473
2019-09,Central region - Average - (GW),16.3,2019,Energy sales,Commercial,Eastern,9623
2019-10,Eastern region - Maximum (GW),14.7,2019,Energy sales,Commercial,Southern,4461
2019-10,Western region - Minimum - (GW),8.4,2019,Energy sales,Government,Eastern,7550
2019-10,Western region - Maximum - (GW),14.3,2019,Energy sales,Sum by regions,Southern,28443
2019-10,Western region - Average - (GW),11.8,2019,Energy sales,Residential,Southern,15916
2012-06,Southern region - Maximum - (GW),3.8,2012,Energy sales,Commercial,Southern,4910
2012-06,Southern region - Average - (GW),3.3,2012,Energy sales,Government,Southern,5350
2012-07,Western region - Maximum - (GW),14.3,2012,Energy sales,Government,Western,17233
2012-08,Southern region - Minimum - (GW),2.7,2012,Energy sales,Industrial,Southern,714
2012-09,Central region - Average - (GW),11.7,2012,Energy sales,Sum by regions,Southern,28786
2012-09,Southern region - Maximum - (GW),3.9,2012,Energy sales,Sum by regions,Sum by category,299183
2012-10,Central region - Average - (GW),10.5,2012,Energy sales,Residential,Eastern,25019
2012-10,Southern region - Average - (GW),2.8,2012,Energy sales,Residential,Southern,16481
2012-11,Central region - Minimum - (GW),7,2012,Energy sales,Residential,Sum by category,128140
2012-11,Southern region - Average - (GW),2.6,2012,Energy sales,Industrial,Southern,557
2012-12,Eastern region - Maximum (GW),8.9,2012,Energy sales,Others,Eastern,3174
2012-12,Central region - Minimum - (GW),6.9,2012,Customers numbers,Residential,Eastern,623378
2013-01,Western region - Maximum - (GW),8.3,2013,Customers numbers,Residential,Southern,533360
2013-01,Western region - Average - (GW),6,2013,Customers numbers,Commercial,Eastern,142566
2013-01,Southern region - Average - (GW),2.5,2013,Customers numbers,Commercial,Southern,33882
2013-03,Central region - Average - (GW),6.6,2013,Customers numbers,Government,Sum by category,97167
2013-03,Southern region - Average - (GW),2.7,2013,Customers numbers,Sum by regions,Sum by category,4739843
2013-04,Eastern region - Average (GW),10.2,2013,Customers numbers,Residential,Eastern,654027
2013-06,Eastern region - Minimum (GW),10.9,2013,Customers numbers,Residential,Southern,564223
2015-09,Central region - Minimum - (GW),10.3,2015,Customers numbers,Residential,Western,1654530
2015-10,Central region - Minimum - (GW),8.4,2015,Customers numbers,Commercial,Sum by category,642876
2015-11,Central region - Average - (GW),7.9,2015,Customers numbers,Government,Southern,15041
2015-11,Southern region - Minimum - (GW),2.5,2015,Customers numbers,Industrial,Sum by category,6349
2016-03,Central region - Maximum - (GW),12.3,2016,Customers numbers,Others,Central,58728
2016-04,Western region - Average - (GW),10.5,2016,Customers numbers,Others,Eastern,24147
2016-05,Central region - Average - (GW),14.1,2016,Customers numbers,Sum by regions,Eastern,844821
2016-05,Southern region - Maximum - (GW),5.1,2016,Customers numbers,Commercial,Central,266132
2016-06,Eastern region - Minimum (GW),11.8,2016,Customers numbers,Commercial,Eastern,156718
2016-06,Southern region - Average - (GW),4.9,2016,Customers numbers,Government,Western,39174
2016-07,Western region - Maximum - (GW),15.5,2016,Customers numbers,Industrial,Sum by category,6775
2016-07,Southern region - Average - (GW),4.9,2016,Customers numbers,Sum by regions,Central,1628357
2016-08,Eastern region - Average (GW),17.1,2016,Customers numbers,Sum by regions,Eastern,885785
2016-08,Central region - Average - (GW),16.8,2016,Customers numbers,Residential,Southern,630653
2016-09,Eastern region - Minimum (GW),13.5,2016,Customers numbers,Commercial,Central,279905
2016-10,Eastern region - Maximum (GW),15,2016,Customers numbers,Commercial,Eastern,164074
2016-12,Western region - Maximum - (GW),10.2,2016,Customers numbers,Commercial,Southern,38959
2017-01,Central region - Average - (GW),8.1,2017,Customers numbers,Commercial,Sum by category,711571
2017-03,Western region - Average - (GW),8.3,2017,Customers numbers,Sum by regions,Central,1702487
2017-04,Southern region - Minimum - (GW),2.8,2017,Customers numbers,Sum by regions,Sum by category,5434698
2017-05,Southern region - Average - (GW),4.5,2017,Customers numbers,Government,Southern,18344
2017-06,Central region - Minimum - (GW),12,2017,Customers numbers,Government,Sum by category,120393
2017-07,Western region - Maximum - (GW),16.3,2017,Customers numbers,Industrial,Central,2483
2017-07,Southern region - Average - (GW),5.1,2017,Customers numbers,Others,Central,64705
2017-09,Eastern region - Maximum (GW),18.6,2017,Customers numbers,Sum by regions,Eastern,985377
2017-09,Eastern region - Average (GW),16.7,2017,Customers numbers,Sum by regions,Sum by category,5716173
2017-11,Western region - Average - (GW),9.6,2017,Customers numbers,Residential,Eastern,803205
2017-12,Southern region - Maximum - (GW),4.2,2017,Customers numbers,Government,Central,37800
2018-01,Southern region - Minimum - (GW),2.5,2018,Customers numbers,Government,Sum by category,121054
2018-03,Eastern region - Minimum (GW),9.4,2018,Customers numbers,Industrial,Southern,232
2018-03,Southern region - Maximum - (GW),4.6,2018,Customers numbers,Others,Central,66759
2018-06,Eastern region - Minimum (GW),14,2018,Customers numbers,Others,Sum by category,148821
2018-06,Western region - Maximum - (GW),16.5,2018,Customers numbers,Sum by regions,Western,2273847
2018-06,Central region - Average - (GW),16.4,2018,Customers numbers,Residential,Central,1548171
2018-06,Southern region - Average - (GW),5,2018,Customers numbers,Commercial,Sum by category,1036935
2018-07,Southern region - Average - (GW),5.1,2018,Customers numbers,Industrial,Central,2725
2018-08,Eastern region - Minimum (GW),15.7,2018,Customers numbers,Others,Eastern,30803
2018-10,Central region - Average - (GW),12.2,2018,Customers numbers,Others,Western,35198
2019-04,Southern region - Minimum - (GW),3.1,2019,Customers numbers,Others,Sum by category,157326
2019-04,Southern region - Average - (GW),4.2,2019,Customers numbers,Residential,Central,1648082
2019-05,Eastern region - Maximum (GW),17.2,2019,Customers numbers,Residential,Southern,761167
2019-05,Southern region - Minimum - (GW),3.5,2019,Customers numbers,Residential,Western,2019717
2019-06,Western region - Minimum - (GW),11.6,2019,Customers numbers,Commercial,Western,398327
2019-07,Eastern region - Minimum (GW),14.6,2019,Customers numbers,Government,Eastern,21329
2019-07,Central region - Average - (GW),17,2019,Customers numbers,Government,Sum by category,125732
2019-07,Southern region - Minimum - (GW),4.3,2019,Customers numbers,Industrial,Southern,324
2019-08,Eastern region - Maximum (GW),18.6,2019,Customers numbers,Others,Central,73347
2019-08,Central region - Average - (GW),16.4,2019,Customers numbers,Sum by regions,Sum by category,6746646
2019-08,Southern region - Maximum - (GW),5.6,2019,Customers numbers,Government,Western,41495
2019-10,Central region - Average - (GW),13.2,2019,Customers numbers,Others,Southern,23451
2019-11,Eastern region - Minimum (GW),10.6,2019,Customers numbers,Sum by regions,Central,2297006
2019-11,Eastern region - Maximum (GW),14.7,2019,Customers numbers,Sum by regions,Eastern,1272524
2019-11,Eastern region - Average (GW),12.4,2019,Customers numbers,Sum by regions,Southern,975792
2019-11,Central region - Maximum - (GW),12.2,2019,Customers numbers,Residential,Sum by category,5947613
2019-12,Eastern region - Maximum (GW),12.5,2019,Customers numbers,Commercial,Eastern,246559
2012-07,Western region - Minimum - (GW),9.6,2012,Customers numbers,Government,Sum by category,143810
2012-07,Western region - Average - (GW),11.9,2012,Customers numbers,Industrial,Sum by category,9340
2012-07,Southern region - Maximum - (GW),4.1,2012,Customers numbers,Commercial,Sum by category,1323787
2012-08,Eastern region - Maximum (GW),15.6,2012,Customers numbers,Government,Eastern,24575
2012-08,Western region - Minimum - (GW),9.1,2012,Customers numbers,Industrial,Central,3347
2012-08,Central region - Minimum - (GW),10.5,2012,Customers numbers,Industrial,Eastern,2557
2012-08,Central region - Maximum - (GW),14.4,2012,Customers numbers,Commercial,Central,542036
2012-08,Central region - Average - (GW),12.5,2012,Customers numbers,Government,Central,47022
2012-08,Southern region - Maximum - (GW),3.9,2012,Customers numbers,Industrial,Southern,452
2012-09,Central region - Maximum - (GW),13.8,2012,Customers numbers,Others,Western,50913
2012-09,Southern region - Minimum - (GW),2.3,2012,Customers numbers,Others,Sum by category,209682
2012-09,Southern region - Average - (GW),3.3,2012,Customers numbers,Sum by regions,Central,2795226
2012-10,Western region - Minimum - (GW),6.8,2012,Customers numbers,Sum by regions,Southern,1203944
2012-10,Western region - Average - (GW),10.3,2012,Customers numbers,Residential,Eastern,1249881
2012-10,Central region - Maximum - (GW),12.2,2012,Customers numbers,Government,Southern,34939
2012-11,Eastern region - Average (GW),6.4,2012,Customers numbers,Industrial,Eastern,2858
2012-11,Central region - Average - (GW),8.8,2012,Customers numbers,Industrial,Sum by category,10783
2012-12,Eastern region - Average (GW),6.3,2012,Customers numbers,Others,Central,94724
2012-12,Southern region - Minimum - (GW),1.9,2012,Customers numbers,Residential,Sum by category,7420818
2013-01,Eastern region - Maximum (GW),9.4,2013,Customers numbers,Industrial,Central,3941
2013-02,Eastern region - Maximum (GW),9.4,2013,Customers numbers,Sum by regions,Eastern,1681458
2013-02,Southern region - Average - (GW),2.5,2013,Customers numbers,Residential,Eastern,1349150
2013-03,Western region - Average - (GW),8.2,2013,Customers numbers,Commercial,Southern,177704
2013-03,Southern region - Minimum - (GW),2,2013,Customers numbers,Government,Central,49050
2013-04,Central region - Average - (GW),8.5,2013,Customers numbers,Industrial,Western,3909
2013-04,Southern region - Maximum - (GW),3.8,2013,Customers numbers,Industrial,Sum by category,11819
2013-05,Eastern region - Minimum (GW),9.2,2013,Customers numbers,Sum by regions,Southern,1438077
2013-05,Western region - Maximum - (GW),13.5,2013,Energy sales,Residential,Western,30071
2013-05,Western region - Average - (GW),10.8,2013,Energy sales,Residential,Sum by category,78588
2013-05,Central region - Minimum - (GW),5.7,2013,Energy sales,Others,Southern,687
2013-06,Central region - Minimum - (GW),10,2013,Energy sales,Others,Western,4396
2013-07,Eastern region - Minimum (GW),11.8,2013,Energy sales,Others,Sum by category,10992
2013-07,Eastern region - Average (GW),13.7,2013,Energy sales,Residential,Southern,9248
2013-07,Western region - Average - (GW),12.4,2013,Energy sales,Government,Western,4909
2013-07,Central region - Minimum - (GW),11.8,2013,Energy sales,Others,Eastern,1518
2013-07,Central region - Maximum - (GW),17,2013,Energy sales,Others,Sum by category,11539
2013-07,Central region - Average - (GW),14.5,2013,Energy sales,Sum by regions,Central,48504
2013-07,Southern region - Maximum - (GW),4.4,2013,Energy sales,Sum by regions,Eastern,54690
2013-08,Western region - Minimum - (GW),9.7,2013,Energy sales,Sum by regions,Sum by category,168860
2013-08,Central region - Average - (GW),13.6,2013,Energy sales,Residential,Southern,9953
2013-08,Southern region - Maximum - (GW),4.1,2013,Energy sales,Government,Western,5831
2013-09,Eastern region - Maximum (GW),15.2,2013,Energy sales,Others,Sum by category,11421
2013-09,Southern region - Minimum - (GW),2.5,2013,Energy sales,Sum by regions,Southern,13021
2013-09,Southern region - Average - (GW),3.5,2013,Energy sales,Sum by regions,Western,57189
2013-10,Central region - Maximum - (GW),12.9,2013,Energy sales,Commercial,Central,7585
2013-10,Southern region - Minimum - (GW),2.1,2013,Energy sales,Commercial,Western,7482
2013-11,Eastern region - Average (GW),9.6,2013,Energy sales,Others,Central,4886
2013-11,Southern region - Average - (GW),2.8,2013,Energy sales,Others,Western,4639
2013-12,Southern region - Minimum - (GW),2,2013,Energy sales,Others,Sum by category,12019
2013-12,Southern region - Maximum - (GW),3.4,2013,Energy sales,Residential,Central,31764
2014-01,Southern region - Minimum - (GW),2,2014,Energy sales,Residential,Western,38544
2014-02,Western region - Minimum - (GW),4.9,2014,Energy sales,Commercial,Southern,1596
